Date,Description,Amount,Running Total
2023-10-25,Fee For Staines Mixed Use - Tranche A ( 1 loan parts ),-0.3033333333,1016.61
2023-11-01,Regular Monthly Interest – Oct 2023,-16.49,1000.12
2023-11-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,1005.953333
2023-11-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,1005.37
2023-11-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,1010.286667
2023-11-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,1009.795
2023-11-10,Primary Loan Invesments For Bradford Commercial Mixed Use - Tranche A ( 1 loan part ),-1000,9.795
2023-12-01,Regular Monthly Interest – Nov 2023,-9.67,0.125
2023-12-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.958333333
2023-12-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.375
2023-12-04,Bank Interest (01/09/2023 to 03/12/2023),0.57,5.945
2023-12-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.86166667
2023-12-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,10.37
2023-12-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.72
2023-12-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.985
2024-01-01,Regular Monthly Interest – Dec 2023,-16.85,0.135
2024-01-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.968333333
2024-01-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.385
2024-01-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.30166667
2024-01-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.81
2024-01-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.16
2024-01-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.425
2024-02-01,Regular Monthly Interest – Jan 2024,-16.28,0.145
2024-02-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.978333333
2024-02-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.395
2024-02-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.31166667
2024-02-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.82
2024-02-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.17
2024-02-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.435
