Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9854106,8152787,"£3,448,105","£1,144,000",46.81%,22 Dec 2024,£66.924000,1.20%,Extended (No ICF),4,9854106,3,22/12/2023,366
9838409,8768865,"£1,250,000","£625,000",50.00%,13 Jan 2025,£36.562500,0.66%,Extended (No ICF),2,9838409,1,13/01/2024,366
9738285,8398453,"£425,000","£175,000",41.18%,12 Jan 2025,£10.237500,0.18%,Extended (No ICF),2,9738285,1,12/01/2024,366
9823484,8296118,"£900,000","£337,000",37.44%,14 Jan 2025,£19.714500,0.35%,Extended (No ICF),2,9823484,1,14/01/2024,366
9648903,8688358,"£530,000","£170,000",32.08%,24 Jan 2025,£9.945000,0.18%,Extended (No ICF),1,9648903,1,24/01/2024,366
9602009,8221505,"£480,000","£240,000",50.00%,01 Nov 2024,£14.040000,0.25%,Extended (No ICF),2,9602009,1,01/08/2023,458
9961729,8123521,"£892,725","£441,000",49.40%,03 Feb 2025,£25.798500,0.46%,Extended (No ICF),2,9961729,1,03/08/2023,550
9961717,8120045,"£4,500,000","£285,000",6.33%,22 Aug 2024,£16.672500,0.30%,Extended (No ICF),1,9961717,1,22/08/2023,366
9753730,8324261,"£775,000","£167,000",21.55%,31 Aug 2024,£9.769500,0.18%,Extended (No ICF),1,9753730,1,29/02/2024,184
9711989,8875578,"£2,424,372","£1,205,000",49.70%,15 Sep 2024,£70.492500,1.26%,Extended (No ICF),2,9711989,1,15/03/2024,184
9109634,8785857,"£2,370,000","£600,000",33.76%,11 Sep 2024,£35.100000,0.63%,Extended (No ICF),1,9109634,2,11/12/2023,275
9671215,8490083,"£500,000","£250,000",50.00%,21 Sep 2024,£14.625000,0.26%,Extended (No ICF),2,9671215,1,21/09/2023,366
9469778,8119143,"£716,000","£300,000",41.90%,04 Feb 2025,£17.550000,0.31%,Extended (No ICF),2,9469778,1,04/08/2023,550
9139317,8566340,"£500,000","£241,000",48.20%,14 Nov 2024,£14.098500,0.25%,Extended (No ICF),2,9139317,1,14/05/2024,184
9237668,8863747,"£270,000","£135,000",50.00%,22 Sep 2024,£7.897500,0.14%,Extended (No ICF),2,9237668,1,22/12/2023,275
9412552,8791214,"£300,000","£125,000",41.67%,04 Jan 2025,£7.312500,0.13%,Extended (No ICF),2,9412552,1,04/01/2024,366
