Date,Transaction Type,Loan,Amount,Balance,Contract,Cash Flow,Date Value
28/03/2024 09:45:19,Loan Repayment Interest,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,£1.16,£23.59,,,28/03/2024
05/04/2024 09:03:37,I and F fee,NRP Diggle Ltd (3) – Drawdown 1,-£0.68,£234.25,,,05/04/2024
05/04/2024 09:03:37,Loan Repayment,NRP Diggle Ltd (3) – Drawdown 1,£150.00,£234.93,,,05/04/2024
05/04/2024 09:03:37,Loan Repayment Interest,NRP Diggle Ltd (3) – Drawdown 1,£7.03,£84.93,,,05/04/2024
05/04/2024 11:19:25,Auction completion,NRP Diggle Ltd (5) – Drawdown 1,-£200.00,£34.25,,,05/04/2024
24/04/2024 15:12:15,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.07,£42.07,,,24/04/2024
24/04/2024 15:12:15,Loan Repayment,Skylark Build Ltd - Drawdown 9,£7.23,£42.14,,,24/04/2024
24/04/2024 15:12:15,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.66,£34.91,,,24/04/2024
25/04/2024 17:15:49,I and F fee,Skylark Build Ltd - Drawdown 17,-£0.02,£47.11,,,25/04/2024
25/04/2024 17:15:49,Loan Repayment,Skylark Build Ltd - Drawdown 17,£4.82,£47.13,,,25/04/2024
25/04/2024 17:15:49,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.24,£42.31,,,25/04/2024
26/04/2024 13:33:44,I and F fee,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,-£0.08,£79.95,,,26/04/2024
26/04/2024 13:33:44,Loan Repayment,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,£32.02,£80.03,,,26/04/2024
26/04/2024 13:33:44,Loan Repayment Interest,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,£0.90,£48.01,,,26/04/2024
01/05/2024 11:24:56,I and F fee,Rainworth Developments 2021 Limited (3) – Drawdown 1,-£0.01,£81.85,,,01/05/2024
01/05/2024 11:24:56,Loan Repayment,Rainworth Developments 2021 Limited (3) – Drawdown 1,£1.79,£81.86,,,01/05/2024
01/05/2024 11:24:56,Loan Repayment Interest,Rainworth Developments 2021 Limited (3) – Drawdown 1,£0.12,£80.07,,,01/05/2024
21/05/2024 15:17:50,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.15,£96.68,,,21/05/2024
21/05/2024 15:17:50,Loan Repayment,Skylark Build Ltd - Drawdown 9,£13.66,£96.83,,,21/05/2024
21/05/2024 15:17:50,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£1.32,£83.17,,,21/05/2024
22/05/2024 15:13:12,I and F fee,Skylark Build Ltd - Drawdown 17,-£0.05,£106.25,,,22/05/2024
22/05/2024 15:13:12,Loan Repayment,Skylark Build Ltd - Drawdown 17,£9.11,£106.30,,,22/05/2024
22/05/2024 15:13:12,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.51,£97.19,,,22/05/2024
31/05/2024 15:57:10,I and F fee,Berriman Developers Limited – Drawdown 3,-£0.37,£205.59,,,31/05/2024
31/05/2024 15:57:10,Loan Repayment,Berriman Developers Limited – Drawdown 3,£95.92,£205.96,,,31/05/2024
31/05/2024 15:57:10,Loan Repayment Interest,Berriman Developers Limited – Drawdown 3,£3.79,£110.04,,,31/05/2024
04/06/2024 09:21:38,I and F fee,The Old Grain Store (Maidstone) Limited (2) – Drawdown 1,-£1.01,£465.05,,,04/06/2024
