Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9455066 d,8587271,"£980,000","£60,000",49.95%,22 Dec 2024,£3.319200,0.06%,Extended (No ICF),2,9455066,6,22/06/2024,183
9684217,8847465,"£650,000","£230,000",47.69%,17 Mar 2025,£12.723600,0.22%,Live,2,9684217,2,17/03/2025,0
9741403 b,8632805,"£650,000","£60,000",50.00%,01 Jul 2025,£3.319200,0.06%,Extended (No ICF),2,9741403,3,01/01/2025,181
9502560,8147047,"£320,000","£160,000",50.00%,17 Mar 2025,£8.851200,0.15%,Live,2,9502560,1,17/03/2025,0
9139612 c,8728067,"£2,050,000","£40,000",39.15%,24 May 2025,£2.212800,0.04%,Extended (No ICF),2,9139612,3,24/02/2024,455
9946288,8155235,"£475,000","£237,500",50.00%,21 Mar 2025,£13.138500,0.23%,Live,2,9946288,1,21/03/2025,0
9207543,8945882,"£590,000","£272,500",46.19%,20 Mar 2025,£15.074700,0.26%,Live,2,9207543,1,20/03/2025,0
9910181,8824575,"£1,639,520","£400,000",48.79%,12 May 2025,£22.128000,0.39%,Extended (No ICF),2,9910181,3,12/11/2024,181
9583388,8879922,"£370,000","£170,000",45.95%,26 Dec 2024,£9.404400,0.16%,Extended (No ICF),2,9583388,1,26/09/2024,91
9577089,8551869,"£1,545,000","£325,000",39.81%,27 Mar 2025,£17.979000,0.31%,Live,2,9577089,2,27/03/2025,0
9455066 e,8587271,"£980,000","£50,000",49.95%,22 Dec 2024,£2.766000,0.05%,Extended (No ICF),2,9455066,6,22/12/2024,0
9679391,8580659,"£685,000","£245,000",48.18%,12 Mar 2025,£13.553400,0.24%,Live,2,9679391,2,12/03/2025,0
9226107,8505177,"£330,000","£165,000",50.00%,02 Apr 2025,£9.127800,0.16%,Live,2,9226107,1,02/04/2025,0
9307914,8138235,"£475,000","£185,000",50.00%,03 Apr 2025,£10.234200,0.18%,Extended (No ICF),2,9307914,2,03/10/2024,182
9749899,8420655,"£1,600,000","£630,000",42.19%,04 Apr 2025,£34.851600,0.61%,Live,2,9749899,2,04/04/2025,0
9478822,8860007,"£840,000","£400,000",47.62%,03 Mar 2025,£22.128000,0.39%,Live,2,9478822,1,03/03/2025,0
9224661 c,8711007,"£1,407,098","£50,000",48.89%,27 Jun 2025,£2.766000,0.05%,Extended (No ICF),2,9224661,9,27/12/2024,182
9749899 b,8420655,"£1,600,000","£45,000",42.19%,04 Apr 2025,£2.489400,0.04%,Live,2,9749899,2,04/04/2025,0
9190881,8404433,"£485,000","£205,000",49.90%,07 Mar 2025,£11.340600,0.20%,Live,2,9190881,2,07/03/2025,0
9184758,8721233,"£1,300,000","£600,000",46.15%,16 Mar 2025,£33.192000,0.58%,Extended (No ICF),2,9184758,1,16/12/2024,90
