Date,Description,Amount,Running Total,Modified Amt
2023-10-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,9.455,-0.455
2023-10-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,14.37166667,4.916666667
2023-10-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,13.88,-0.4916666667
2023-10-25,Principal Paid Off For Staines Mixed Use - Tranche A ( 1 loan part ),1000,1013.88,1000
2023-10-25,Gross Loan Interest For Staines Mixed Use - Tranche A ( 1 loan parts ),3.033333333,1016.913333,3.033333333
2023-10-25,Fee For Staines Mixed Use - Tranche A ( 1 loan parts ),-0.3033333333,1016.61,-0.3033333333
2023-11-01,Regular Monthly Interest – Oct 2023,-16.49,1000.12,-16.49
2023-11-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,1005.953333,5.833333333
2023-11-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,1005.37,-0.5833333333
2023-11-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,1010.286667,4.916666667
2023-11-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,1009.795,-0.4916666667
2023-11-10,Primary Loan Invesments For Bradford Commercial Mixed Use - Tranche A ( 1 loan part ),-1000,9.795,-1000
2023-12-01,Regular Monthly Interest – Nov 2023,-9.67,0.125,-9.67
2023-12-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.958333333,5.833333333
2023-12-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.375,-0.5833333333
2023-12-04,Bank Interest (01/09/2023 to 03/12/2023),0.57,5.945,0.57
2023-12-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.86166667,4.916666667
2023-12-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,10.37,-0.4916666667
2023-12-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.72,7.35
2023-12-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.985,-0.735
2024-01-01,Regular Monthly Interest – Dec 2023,-16.85,0.135,-16.85
2024-01-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.968333333,5.833333333
2024-01-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.385,-0.5833333333
